patent_number,patent_date,patent_num_combined_citations,patent_kind,patent_title,patent_abstract,patent_id
9240016,2016-01-19,151,B2,"Systems, methods, and apparatuses for implementing predictive query interface as a cloud service","Disclosed herein are systems and methods for implementing predictive query interface as a cloud service including means for exposing an interface to client devices operating remotely from a host organization, wherein the interface is accessible by the client devices via a public Internet; executing a predictive database at the host organization as an on-demand cloud based service for one or more subscribers; authenticating one of the client devices by verifying the client device is associated with one of the subscribers and based further on authentication credentials for the respective subscriber; receiving a request from the authenticated subscriber via the interface; executing a predictive query or a latent structure query against indices of the predictive database generated from a dataset of columns and rows on behalf of the authenticated subscriber, the indices representing probabilistic relationships between the rows and the columns of the dataset; and returning a predictive record set to the authenticated subscriber responsive to the request. Other related embodiments are further disclosed.",9240016
9307006,2016-04-05,171,B2,System and method for synchronizing data objects in a cloud based social networking environment,"Methods and systems are provided for synchronizing and sharing data objects in a cloud based social networking environment of the type including a collaboration cloud. The method includes defining a sharing configuration within the collaboration cloud to include a second computing device; running a dedicated client synchronization application on a first computing device; creating a sync folder on the first computing device using the client synchronization application; updating a data object using the first computing device; adding the updated data object to the sync folder; automatically synchronizing the updated data object with the collaboration cloud; and propagating, using the collaboration cloud, the updated data object to the second computing device.",9307006
9361468,2016-06-07,147,B2,Method and system for granting access to secure data,"Techniques described herein can be implemented as one or a combination of methods, systems or processor executed code to form embodiments capable of improved protection of data or other computing resources based at least in part upon limiting access to a select number of delegates. Limited access to cloud data based on customer selected or other criterion, reducing the possibility of security exposures and/or improving privacy is provided for.",9361468
9444857,2016-09-13,123,B2,Systems and methods for implementing instant social image cobrowsing through the cloud,"In accordance with disclosed embodiments, there are provided methods, systems, and apparatuses for implementing instant social image cobrowsing through the cloud, including, for example, means for loading an application at the client device, the application displaying a graphical interface at the client device; receiving input at the graphical interface of the client device to initiate an instant share session; generating an action at the client device to request an instant share session; communicating the action from the client device to a remote host organization via a public Internet; receiving, at the client device, a pointer to a dynamically created co-browse site at the host organization responsive to communicating the action from the client device to the remote host organization; following the pointer to the dynamically created co-browse site at the host organization communicably linking the client device with the host organization; and exchanging a video telephony stream between the client device and a remote party through the dynamically created co-browse site. Other related embodiments are disclosed.",9444857
9448773,2016-09-20,141,B2,Systems and methods for implementing a uniform application user interface across a multi-tenant environment,"In accordance with disclosed embodiments, there are provided systems and methods for implementing a uniform application user interface across a hosted computing environment, such as an on-demand or cloud computing environment which utilizes multi-tenant database technologies, client-server technologies, traditional database technologies, or other computing architecture in support of the hosted computing environment. According to a particular embodiment such a system includes a processor and a memory to execute instructions at the system; a foundation layer to define a plurality of components; the plurality of components, each to define one or more features to be consumed by an arbitrary application built from the features; wherein the one or more features are to each incorporate one or more of the components defined by the foundation layer and further wherein each of the one or more features have visibility to one or more interfaces available for the respective features to connect with but have no visibility to or about any arbitrary application that will consume them; a glue logic layer to link the features to the arbitrary application built from the features, wherein the arbitrary application built from the features has a one-way view of the features consumed through the glue logic layer without permitting the features visibility to or about the arbitrary application built; and wherein the arbitrary application built from the features is to execute within the host organization. Other related embodiments are disclosed.",9448773
9471666,2016-10-18,197,B2,System and method for supporting natural language queries and requests against a user's personal data cloud,"A machine-implemented method for supporting a natural language user request against a user's personal data cloud can include a machine receiving the natural language user request from the user, determining a semantic interpretation of the natural language user request, querying a semantically-indexed, integrated knowledge store based on the semantic interpretation, and responding to the natural language user request by displaying results of the querying, wherein the results correspond to an item within the user's personal data cloud.",9471666
9563680,2017-02-07,145,B2,Method and system for document integration,"A method for integrating a document from a first document repository to another document repository in a cloud computing environment is disclosed. The method embodiment includes receiving by a server a configuration setup file including information identifying a source document repository, a destination document repository located in a cloud computing environment, and at least one web portal. When an indication to upload a document from the source document repository to the destination document repository is received by the server, the server is configured to retrieve automatically the document from the source document repository, to convert automatically the document from a first format to a second format, and to transmit the converted document to the destination document repository, whereby the converted document is accessed via the at least one web portal.",9563680
9602597,2017-03-21,206,B2,System and method for synchronizing data objects in a cloud based social networking environment,"Methods and systems are provided for synchronizing and sharing data objects in a cloud based social networking environment of the type including a collaboration cloud. The method includes defining a sharing configuration based on at least one metadata key word, within the collaboration cloud, the sharing configuration including a second computing device; running a dedicated client synchronization application on a first computing device; updating a data object using the first computing device; automatically synchronizing the updated data object with the collaboration cloud; and propagating, using the collaboration cloud, the updated data object to the second computing device.",9602597
9626637,2017-04-18,397,B2,Method and system for managing business deals,"In accordance with embodiments, there are provided mechanisms and methods for managing business deals. The mechanisms and methods for managing business deals may enable embodiments to provide a dynamic and interactive user-interface including any combination of contacts, accounts, opportunities, allowing users to create tasks, events, leads (e.g., from Data.com), reports, dashboards, instant messenger, external deal spaces, email service (e.g., Outlook), a cloud-based productivity suite for businesses that allows work on any device (e.g., Google apps), mobile access, private messaging, lead management, mass email templates, social media monitoring (e.g., from Radian6), role-based sharing and security, and/or additional storage, for example. In an embodiment, the number of contacts may be unlimited.",9626637
9672379,2017-06-06,148,B2,Method and system for granting access to secure data,"Techniques described herein can be implemented as one or a combination of methods, systems or processor executed code to form embodiments capable of improved protection of data or other computing resources based at least in part upon limiting access to a select number of delegates. Limited access to cloud data based on customer selected or other criterion, reducing the possibility of security exposures and/or improving privacy is provided for.",9672379
9710468,2017-07-18,23,B2,Topic profile query creation,A topic profile may be generated based on several words/phrases. The topic profile may include social media content items such as a social media post from a variety of social media sources. The topic profile may be presented to a user via a user interface that displays the one or more included/excluded words/phrases that may form the basis of a query for the topic profile. The user interface may display one or more representative social media content items and/or a word cloud of words/phrases related to the query. A user may select one or more words/phrases in the word cloud and/or one or more social media content items to be included in and//or excluded from the topic profile. The implementations disclosed herein may allow rapid filtering of a potentially large group of content items from potentially disparate social media sources.,9710468
9792356,2017-10-17,287,B2,System and method for supporting natural language queries and requests against a user's personal data cloud,"A machine-implemented method for supporting a natural language user request against a user's personal data cloud can include a machine receiving the natural language user request from the user, determining a semantic interpretation of the natural language user request, querying a semantically-indexed, integrated knowledge store based on the semantic interpretation, and responding to the natural language user request by displaying results of the querying, wherein the results correspond to an item within the user's personal data cloud.",9792356
9992242,2018-06-05,126,B2,Systems and methods for implementing instant social image cobrowsing through the cloud,"In accordance with disclosed embodiments, there are provided methods, systems, and apparatuses for implementing instant social image cobrowsing through the cloud, including, for example, means for loading an application at the client device, the application displaying a graphical interface at the client device; receiving input at the graphical interface of the client device to initiate an instant share session; generating an action at the client device to request an instant share session; communicating the action from the client device to a remote host organization via a public Internet; receiving, at the client device, a pointer to a dynamically created co-browse site at the host organization responsive to communicating the action from the client device to the remote host organization; following the pointer to the dynamically created co-browse site at the host organization communicably linking the client device with the host organization; and exchanging a video telephony stream between the client device and a remote party through the dynamically created co-browse site. Other related embodiments are disclosed.",9992242
